2021/12/14,20:29:35,Felipe,1,1
2021/12/14,20:29:41,Felipe,2,2
2021/12/14,22:49:03,alan,1,1
2021/12/14,22:49:03,juan,0,0
2021/12/14,22:49:03,tomas,0,0
2021/12/14,23:03:21,juan,1,1
2021/12/14,23:03:21,alan,0,0
2021/12/14,23:03:21,tomas,0,0
2021/12/14,23:04:44,alan,1,1
2021/12/14,23:04:44,tomas,0,0
2021/12/14,23:04:44,juan,0,0
2021/12/14,23:10:04,alan,1,1
2021/12/14,23:10:04,tomas,0,0
2021/12/14,23:10:04,juan,0,0
2021/12/14,23:10:11,alan,1,1
2021/12/14,23:10:11,tomas,0,0
2021/12/14,23:10:11,juan,0,0
2021/12/14,23:10:19,alan,1,1
2021/12/14,23:10:19,tomas,0,0
2021/12/14,23:10:19,juan,0,0
2021/12/14,23:10:28,alan,1,1
2021/12/14,23:10:28,tomas,0,0
2021/12/14,23:10:28,juan,0,0
2021/12/14,23:10:37,alan,1,1
2021/12/14,23:10:37,tomas,0,0
2021/12/14,23:10:37,juan,0,0
2021/12/14,23:16:26,juan,1,1
